right_arm_link,right_shoulder_pitch_link,right_shoulder_roll_link,right_shoulder_yaw_link,right_elbow_link,right_wrist_roll_link,right_wrist_pitch_link,right_wrist_yaw_link
0.0,0.4395028,-1.5085589,-0.06385538,0.8685476,0.0,0.0,0.0
0.0,0.4586003,-1.5263515,-0.036294177,0.82770526,0.0,0.0,0.0
0.0,0.46745086,-1.5428772,-0.023799779,0.79986686,0.0,0.0,0.0
0.0,0.46586436,-1.557968,-0.031629313,0.78403115,0.0,0.0,0.0
0.0,0.4555344,-1.569964,-0.060362317,0.77799845,0.0,0.0,0.0
0.0,0.43983167,-1.5777757,-0.1083654,0.779447,0.0,0.0,0.0
0.0,0.42209,-1.5817816,-0.17249472,0.78514194,0.0,0.0,0.0
0.0,0.4057118,-1.5828993,-0.24672577,0.79163134,0.0,0.0,0.0
0.0,0.39258093,-1.582013,-0.32542452,0.795455,0.0,0.0,0.0
0.0,0.3866093,-1.5773079,-0.40241545,0.7947978,0.0,0.0,0.0
0.0,0.39222527,-1.5657507,-0.47026286,0.7897281,0.0,0.0,0.0
0.0,0.40600806,-1.549668,-0.5267908,0.78139096,0.0,0.0,0.0
0.0,0.42091203,-1.5339322,-0.5705246,0.77144563,0.0,0.0,0.0
0.0,0.43429372,-1.521807,-0.59663045,0.76206905,0.0,0.0,0.0
0.0,0.44452742,-1.5144811,-0.6021807,0.7533711,0.0,0.0,0.0
0.0,0.45055386,-1.5116112,-0.58713496,0.7438689,0.0,0.0,0.0
0.0,0.454028,-1.5125271,-0.5530479,0.73342276,0.0,0.0,0.0
0.0,0.45662874,-1.5164278,-0.5057864,0.7236637,0.0,0.0,0.0
0.0,0.45852527,-1.5218186,-0.45439118,0.7161766,0.0,0.0,0.0
0.0,0.45793235,-1.5272694,-0.40907753,0.7113322,0.0,0.0,0.0
0.0,0.45680368,-1.5309049,-0.37632185,0.7092292,0.0,0.0,0.0
0.0,0.45844236,-1.530699,-0.3570858,0.709041,0.0,0.0,0.0
