right_arm_link,right_shoulder_pitch_link,right_shoulder_roll_link,right_shoulder_yaw_link,right_elbow_link,right_wrist_roll_link,right_wrist_pitch_link,right_wrist_yaw_link
0.0,1.2758672,-1.103477,-0.08391557,1.92,0.0,0.0,0.0
0.0,1.2752244,-1.0871058,-0.07607386,1.92,0.0,0.0,0.0
0.0,1.2710556,-1.0786487,-0.07635769,1.92,0.0,0.0,0.0
0.0,1.2654111,-1.0789331,-0.08885014,1.92,0.0,0.0,0.0
0.0,1.2673941,-1.0823234,-0.10025949,1.92,0.0,0.0,0.0
0.0,1.2750236,-1.0796801,-0.10141117,1.92,0.0,0.0,0.0
0.0,1.2759396,-1.0627304,-0.11261041,1.92,0.0,0.0,0.0
0.0,1.2742336,-1.040884,-0.12337086,1.92,0.0,0.0,0.0
0.0,1.2757409,-1.0305265,-0.11895482,1.92,0.0,0.0,0.0
0.0,1.2763668,-1.0344101,-0.1141209,1.92,0.0,0.0,0.0
0.0,1.2756541,-1.0476989,-0.11636978,1.92,0.0,0.0,0.0
0.0,1.2778474,-1.0645303,-0.11640667,1.92,0.0,0.0,0.0
0.0,1.2802166,-1.075548,-0.10862894,1.92,0.0,0.0,0.0
0.0,1.2745482,-1.0711728,-0.10371058,1.92,0.0,0.0,0.0
0.0,1.2653838,-1.0577447,-0.093635,1.92,0.0,0.0,0.0
0.0,1.2576053,-1.0483975,-0.07900872,1.92,0.0,0.0,0.0
0.0,1.2476054,-1.0473982,-0.078346506,1.92,0.0,0.0,0.0
0.0,1.2377486,-1.0543059,-0.09168997,1.92,0.0,0.0,0.0
0.0,1.2354233,-1.0653243,-0.097164296,1.92,0.0,0.0,0.0
0.0,1.2362987,-1.0707498,-0.08850993,1.92,0.0,0.0,0.0
0.0,1.2313014,-1.0615383,-0.08212931,1.92,0.0,0.0,0.0
0.0,1.223408,-1.0441166,-0.07838152,1.92,0.0,0.0,0.0
0.0,1.2166772,-1.0315915,-0.07650599,1.92,0.0,0.0,0.0
0.0,1.2068533,-1.0279623,-0.08670067,1.92,0.0,0.0,0.0
0.0,1.1940715,-1.0332388,-0.10706914,1.92,0.0,0.0,0.0
0.0,1.1861485,-1.0449239,-0.11778979,1.92,0.0,0.0,0.0
0.0,1.1821164,-1.0552337,-0.10948188,1.92,0.0,0.0,0.0
0.0,1.1719947,-1.055004,-0.09915458,1.92,0.0,0.0,0.0
0.0,1.1575893,-1.0496367,-0.0876327,1.92,0.0,0.0,0.0
0.0,1.1443558,-1.0521567,-0.07142215,1.92,0.0,0.0,0.0
0.0,1.1289943,-1.0654874,-0.05676611,1.92,0.0,0.0,0.0
0.0,1.1034234,-1.0854309,-0.03781461,1.92,0.0,0.0,0.0
0.0,1.0580273,-1.107186,-0.011197239,1.92,0.0,0.0,0.0
0.0,0.9861961,-1.1266748,0.016867666,1.9198585,0.0,0.0,0.0
0.0,0.88603604,-1.1433873,0.035674006,1.9169273,0.0,0.0,0.0
0.0,0.76660657,-1.1620809,0.042077605,1.8975265,0.0,0.0,0.0
0.0,0.64193493,-1.188188,0.040444076,1.8394244,0.0,0.0,0.0
0.0,0.514815,-1.2253385,0.03151037,1.7401086,0.0,0.0,0.0
0.0,0.41035232,-1.2694662,0.03112452,1.6128343,0.0,0.0,0.0
0.0,0.33494392,-1.3158264,0.039267477,1.4697695,0.0,0.0,0.0
0.0,0.28247672,-1.3566824,0.06455919,1.3149779,0.0,0.0,0.0
0.0,0.23898943,-1.3950063,0.10283159,1.1515434,0.0,0.0,0.0
0.0,0.19663669,-1.4302727,0.15670855,0.9926749,0.0,0.0,0.0
0.0,0.15427402,-1.4573395,0.22478874,0.85951185,0.0,0.0,0.0
0.0,0.11367015,-1.478291,0.28684363,0.7673913,0.0,0.0,0.0
0.0,0.08188294,-1.4941391,0.32280192,0.71754247,0.0,0.0,0.0
